time;probability;TimeName
15:30;0.002793887;Weekday
15:35;0.00281924;Weekday
15:40;0.002844798;Weekday
15:45;0.002870562;Weekday
15:50;0.002896534;Weekday
15:55;0.002922715;Weekday
16:00;0.002949105;Weekday
16:05;0.002975707;Weekday
16:10;0.003002521;Weekday
16:15;0.003029549;Weekday
16:20;0.003056791;Weekday
16:25;0.003084249;Weekday
16:30;0.003111924;Weekday
16:35;0.003139818;Weekday
16:40;0.003167931;Weekday
16:45;0.003196265;Weekday
16:50;0.00322482;Weekday
16:55;0.003253599;Weekday
17:00;0.003282602;Weekday
17:05;0.00331183;Weekday
17:10;0.003341284;Weekday
17:15;0.003370966;Weekday
17:20;0.003400877;Weekday
17:25;0.003431018;Weekday
17:30;0.00346139;Weekday
17:35;0.004119042;Weekday
17:40;0.004877816;Weekday
17:45;0.005744144;Weekday
17:50;0.00672153;Weekday
17:55;0.007809466;Weekday
18:00;0.009162239;Weekday
18:05;0.011405752;Weekday
18:10;0.011586313;Weekday
18:15;0.011762227;Weekday
18:20;0.01193336;Weekday
18:25;0.012099591;Weekday
18:30;0.01226081;Weekday
18:35;0.012416915;Weekday
18:40;0.012567816;Weekday
18:45;0.012713429;Weekday
18:50;0.01285368;Weekday
18:55;0.012988504;Weekday
19:00;0.013117841;Weekday
19:05;0.013241641;Weekday
19:10;0.013359857;Weekday
19:15;0.013472451;Weekday
19:20;0.013579387;Weekday
19:25;0.013680638;Weekday
19:30;0.013776179;Weekday
19:35;0.013865988;Weekday
19:40;0.013950048;Weekday
19:45;0.014028345;Weekday
19:50;0.014100869;Weekday
19:55;0.014167609;Weekday
20:00;0.014228558;Weekday
20:05;0.014446303;Weekday
20:10;0.014446303;Weekday
20:15;0.014228558;Weekday
20:20;0.014167609;Weekday
20:25;0.014100869;Weekday
20:30;0.014028345;Weekday
20:35;0.013950048;Weekday
20:40;0.013865988;Weekday
20:45;0.013776179;Weekday
20:50;0.013680638;Weekday
20:55;0.013579387;Weekday
21:00;0.013472451;Weekday
21:05;0.013359857;Weekday
21:10;0.013241641;Weekday
21:15;0.013117841;Weekday
21:20;0.012988504;Weekday
21:25;0.01285368;Weekday
21:30;0.012713429;Weekday
21:35;0.012567816;Weekday
21:40;0.012416915;Weekday
21:45;0.01226081;Weekday
21:50;0.012099591;Weekday
21:55;0.01193336;Weekday
22:00;0.007809466;Weekday
22:05;0.00672153;Weekday
22:10;0.005744144;Weekday
22:15;0.004877816;Weekday
22:20;0.004119042;Weekday
22:25;0.00346139;Weekday
22:30;0.002896534;Weekday
22:35;0.002415152;Weekday
22:40;0.002007627;Weekday
22:45;0.001664568;Weekday
22:50;0.001377143;Weekday
22:55;0.001137286;Weekday
23:00;0.001063214;Weekday
23:05;0.001053018;Weekday
23:10;0.001042917;Weekday
23:15;0.001032909;Weekday
23:20;0.001022993;Weekday
23:25;0.00101317;Weekday
23:30;0.001003437;Weekday
23:35;0.000993794;Weekday
23:40;0.000984241;Weekday
23:45;0.000974776;Weekday
23:50;0.000965399;Weekday
23:55;0.00095611;Weekday
00:00;0.001263123;Weekend
00:05;0.001216656;Weekend
00:10;0.00117179;Weekend
00:15;0.001128477;Weekend
00:20;0.001086672;Weekend
00:25;0.001046327;Weekend
00:30;0.0010074;Weekend
00:35;0.000969845;Weekend
00:40;0.00093362;Weekend
00:45;0.000898684;Weekend
00:50;0.000864994;Weekend
00:55;0.000832512;Weekend
01:00;0.000801197;Weekend
01:05;0.000771012;Weekend
01:10;0.00074192;Weekend
